OpenTimeUtc,Open,High,Low,Close,TickVolume,Spread
2026-09-11T17:50:22.000+00:00,4361.2,4361.52,4361.02,4361.27,25,0.09
2026-09-11T17:50:30.364+00:00,4361.09,4361.56,4361.05,4361.53,25,0.11
2026-09-11T17:50:36.866+00:00,4361.3,4361.81,4361.3,4361.37,25,0.11
2026-09-11T17:50:44.306+00:00,4361.36,4361.69,4361.26,4361.39,25,0.09
2026-09-11T17:50:51.489+00:00,4361.14,4361.69,4361.14,4361.56,25,0.08
2026-09-11T17:51:00.060+00:00,4361.47,4361.74,4361.38,4361.74,25,0.09
2026-09-11T17:51:07.380+00:00,4361.94,4362.06,4361.11,4361.11,25,0.1
2026-09-11T17:51:15.381+00:00,4361.06,4361.33,4360.84,4361.24,25,0.08
2026-09-11T17:51:22.064+00:00,4361.37,4361.37,4361.16,4361.33,25,0.08
2026-09-11T17:51:30.623+00:00,4361.34,4362.1,4361.25,4362.1,25,0.08
2026-09-11T17:51:40.169+00:00,4361.85,4362.2,4361.73,4361.98,25,0.09
2026-09-11T17:51:48.680+00:00,4362.03,4362.61,4361.96,4362.61,25,0.08
2026-09-11T17:51:56.698+00:00,4362.63,4363.37,4362.33,4363.2,25,0.08
2026-09-11T17:52:04.507+00:00,4363.17,4363.32,4363.0,4363.07,25,0.09
2026-09-11T17:52:11.581+00:00,4362.93,4363.35,4362.71,4362.73,25,0.1
2026-09-11T17:52:19.548+00:00,4362.76,4362.79,4362.28,4362.35,25,0.08
2026-09-11T17:52:26.559+00:00,4362.08,4362.31,4361.78,4361.78,25,0.09
2026-09-11T17:52:33.642+00:00,4361.76,4362.41,4361.74,4362.01,25,0.13
2026-09-11T17:52:40.730+00:00,4362.26,4362.49,4361.89,4362.16,25,0.08
2026-09-11T17:52:48.091+00:00,4362.18,4362.92,4362.1,4362.79,25,0.09
2026-09-11T17:52:54.992+00:00,4362.8,4363.62,4362.8,4363.33,25,0.08
2026-09-11T17:53:03.219+00:00,4363.34,4363.63,4363.17,4363.43,25,0.08
2026-09-11T17:53:13.109+00:00,4363.39,4363.75,4363.39,4363.51,25,0.09
2026-09-11T17:53:20.230+00:00,4363.53,4363.87,4363.3,4363.3,25,0.09
2026-09-11T17:53:27.915+00:00,4363.29,4363.46,4362.98,4363.46,25,0.09
2026-09-11T17:53:34.682+00:00,4363.49,4363.55,4362.67,4362.7,25,0.09
2026-09-11T17:53:41.848+00:00,4362.68,4363.43,4362.68,4363.02,25,0.1
2026-09-11T17:53:50.495+00:00,4363.08,4363.09,4362.57,4362.66,25,0.1
2026-09-11T17:53:58.673+00:00,4362.69,4363.1,4362.57,4362.74,25,0.09
2026-09-11T17:54:06.216+00:00,4362.89,4363.11,4362.59,4363.11,25,0.09
2026-09-11T17:54:14.493+00:00,4363.06,4363.06,4362.6,4362.63,25,0.08
2026-09-11T17:54:25.031+00:00,4362.58,4362.82,4362.22,4362.57,25,0.1
2026-09-11T17:54:33.729+00:00,4362.6,4362.87,4362.6,4362.75,25,0.08
2026-09-11T17:54:40.844+00:00,4362.84,4363.17,4362.64,4362.89,25,0.1
2026-09-11T17:54:50.678+00:00,4362.99,4363.11,4362.55,4362.66,25,0.09
2026-09-11T17:55:00.582+00:00,4362.67,4362.96,4362.38,4362.38,25,0.08
2026-09-11T17:55:07.828+00:00,4362.43,4363.07,4362.31,4362.7,25,0.08
2026-09-11T17:55:14.544+00:00,4362.67,4362.87,4361.6,4361.71,25,0.12
2026-09-11T17:55:21.886+00:00,4361.81,4362.25,4361.73,4361.9,25,0.13
2026-09-11T17:55:29.932+00:00,4361.89,4361.91,4361.52,4361.52,25,0.1
2026-09-11T17:55:37.272+00:00,4361.78,4361.78,4360.85,4361.33,25,0.1
2026-09-11T17:55:43.902+00:00,4361.3,4361.3,4360.67,4361.18,25,0.1
2026-09-11T17:55:52.799+00:00,4361.19,4361.34,4360.78,4361.12,25,0.11
2026-09-11T17:56:00.410+00:00,4361.17,4361.17,4360.85,4361.08,25,0.08
2026-09-11T17:56:07.730+00:00,4361.0,4361.02,4360.04,4360.38,25,0.11
2026-09-11T17:56:14.818+00:00,4360.36,4360.64,4360.16,4360.38,25,0.09
2026-09-11T17:56:22.144+00:00,4360.24,4360.35,4360.09,4360.25,25,0.12
2026-09-11T17:56:29.992+00:00,4360.34,4360.34,4359.66,4359.82,25,0.1
2026-09-11T17:56:37.125+00:00,4359.72,4360.21,4359.65,4359.78,25,0.11
2026-09-11T17:56:44.941+00:00,4359.71,4360.07,4359.41,4359.49,25,0.1
2026-09-11T17:56:52.103+00:00,4359.49,4359.97,4359.49,4359.92,25,0.09
2026-09-11T17:56:59.857+00:00,4359.81,4359.87,4359.44,4359.51,25,0.08
2026-09-11T17:57:07.420+00:00,4359.53,4359.53,4359.03,4359.13,25,0.08
2026-09-11T17:57:14.976+00:00,4359.11,4359.22,4358.89,4359.1,25,0.09
2026-09-11T17:57:22.820+00:00,4359.06,4359.36,4359.01,4359.36,25,0.1
2026-09-11T17:57:30.877+00:00,4359.29,4359.44,4359.08,4359.33,25,0.1
2026-09-11T17:57:40.024+00:00,4359.27,4359.36,4358.98,4358.98,25,0.09
2026-09-11T17:57:48.823+00:00,4358.99,4359.29,4358.65,4359.29,25,0.08
2026-09-11T17:57:56.395+00:00,4359.24,4359.3,4358.63,4358.83,25,0.08
2026-09-11T17:58:03.176+00:00,4358.85,4359.18,4358.8,4358.91,25,0.08
2026-09-11T17:58:10.677+00:00,4358.85,4359.11,4358.8,4358.92,25,0.08
2026-09-11T17:58:22.953+00:00,4358.93,4359.06,4358.66,4358.98,25,0.08
2026-09-11T17:58:36.605+00:00,4359.03,4359.08,4358.67,4358.91,25,0.09
2026-09-11T17:58:45.008+00:00,4358.95,4358.96,4358.1,4358.1,25,0.08
2026-09-11T17:58:52.559+00:00,4358.18,4358.23,4357.87,4358.1,25,0.09
2026-09-11T17:59:00.900+00:00,4358.19,4358.19,4357.87,4357.88,25,0.08
2026-09-11T17:59:08.563+00:00,4357.94,4358.84,4357.88,4358.42,25,0.09
