ts_recv_utc,bid,ask,spread,msg_seq
2026-09-11T18:54:37.485+00:00,153.743,153.744,0.001,209
2026-09-11T18:54:37.716+00:00,153.742,153.743,0.001,209
2026-09-11T18:54:37.917+00:00,153.743,153.744,0.001,209
2026-09-11T18:54:38.116+00:00,153.742,153.743,0.001,209
2026-09-11T18:54:38.320+00:00,153.741,153.742,0.001,209
2026-09-11T18:54:38.518+00:00,153.742,153.743,0.001,209
2026-09-11T18:54:38.718+00:00,153.741,153.742,0.001,209
2026-09-11T18:54:38.919+00:00,153.74,153.742,0.002,209
2026-09-11T18:54:39.120+00:00,153.74,153.741,0.001,209
2026-09-11T18:54:39.724+00:00,153.738,153.739,0.001,209
2026-09-11T18:54:39.923+00:00,153.739,153.74,0.001,209
2026-09-11T18:54:40.668+00:00,153.74,153.741,0.001,209
2026-09-11T18:54:40.867+00:00,153.738,153.739,0.001,209
2026-09-11T18:54:41.268+00:00,153.74,153.741,0.001,209
2026-09-11T18:54:41.674+00:00,153.739,153.742,0.003,209
2026-09-11T18:54:41.873+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:42.075+00:00,153.739,153.742,0.003,209
2026-09-11T18:54:42.477+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:42.680+00:00,153.739,153.742,0.003,209
2026-09-11T18:54:42.907+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:43.223+00:00,153.739,153.742,0.003,209
2026-09-11T18:54:43.425+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:43.824+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:44.655+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:44.857+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:45.257+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:45.459+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:46.182+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:46.781+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:47.438+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:47.636+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:49.096+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:49.299+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:50.973+00:00,153.74,153.742,0.002,209
2026-09-11T18:54:53.017+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:53.218+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:53.421+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:53.631+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:53.823+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:54.022+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:54.424+00:00,153.74,153.742,0.002,209
2026-09-11T18:54:54.626+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:55.147+00:00,153.74,153.742,0.002,209
2026-09-11T18:54:55.351+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:55.953+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:56.653+00:00,153.74,153.742,0.002,209
2026-09-11T18:54:56.853+00:00,153.74,153.743,0.003,209
2026-09-11T18:54:57.053+00:00,153.741,153.744,0.003,209
2026-09-11T18:54:57.592+00:00,153.74,153.743,0.003,209
2026-09-11T18:55:00.695+00:00,153.739,153.742,0.003,210
2026-09-11T18:55:00.897+00:00,153.742,153.745,0.003,210
2026-09-11T18:55:01.292+00:00,153.743,153.746,0.003,210
2026-09-11T18:55:01.694+00:00,153.742,153.745,0.003,210
2026-09-11T18:55:01.895+00:00,153.743,153.746,0.003,210
2026-09-11T18:55:02.984+00:00,153.742,153.744,0.002,210
2026-09-11T18:55:03.184+00:00,153.744,153.747,0.003,210
2026-09-11T18:55:03.386+00:00,153.743,153.746,0.003,210
2026-09-11T18:55:03.788+00:00,153.742,153.745,0.003,210
2026-09-11T18:55:04.189+00:00,153.744,153.747,0.003,210
2026-09-11T18:55:04.996+00:00,153.742,153.745,0.003,210
2026-09-11T18:55:06.154+00:00,153.747,153.75,0.003,210
2026-09-11T18:55:06.354+00:00,153.746,153.749,0.003,210
2026-09-11T18:55:06.554+00:00,153.747,153.75,0.003,210
2026-09-11T18:55:07.156+00:00,153.748,153.751,0.003,210
2026-09-11T18:55:07.558+00:00,153.749,153.752,0.003,210
2026-09-11T18:55:07.966+00:00,153.748,153.751,0.003,210
2026-09-11T18:55:08.568+00:00,153.75,153.753,0.003,210
2026-09-11T18:55:08.968+00:00,153.749,153.752,0.003,210
2026-09-11T18:55:09.169+00:00,153.75,153.753,0.003,210
2026-09-11T18:55:09.370+00:00,153.749,153.752,0.003,210
2026-09-11T18:55:09.569+00:00,153.748,153.751,0.003,210
2026-09-11T18:55:10.710+00:00,153.749,153.752,0.003,210
2026-09-11T18:55:11.107+00:00,153.747,153.75,0.003,210
2026-09-11T18:55:11.306+00:00,153.748,153.751,0.003,210
2026-09-11T18:55:11.527+00:00,153.749,153.752,0.003,210
2026-09-11T18:55:11.730+00:00,153.747,153.75,0.003,210
2026-09-11T18:55:12.370+00:00,153.746,153.749,0.003,210
2026-09-11T18:55:12.531+00:00,153.747,153.75,0.003,210
2026-09-11T18:55:12.932+00:00,153.748,153.751,0.003,210
2026-09-11T18:55:13.613+00:00,153.746,153.749,0.003,210
2026-09-11T18:55:13.811+00:00,153.747,153.75,0.003,210
2026-09-11T18:55:15.449+00:00,153.748,153.751,0.003,210
2026-09-11T18:55:15.659+00:00,153.747,153.75,0.003,210
