ts_recv_utc,bid,ask,spread,msg_seq
2026-09-11T18:10:45.954+00:00,4355.65,4355.74,0.09,104
2026-09-11T18:10:46.179+00:00,4355.51,4355.63,0.12,104
2026-09-11T18:10:46.482+00:00,4355.49,4355.6,0.11,104
2026-09-11T18:10:46.781+00:00,4355.26,4355.38,0.12,104
2026-09-11T18:10:47.007+00:00,4355.21,4355.33,0.12,104
2026-09-11T18:10:47.233+00:00,4355.5,4355.63,0.13,104
2026-09-11T18:10:47.532+00:00,4355.42,4355.53,0.11,104
2026-09-11T18:10:47.908+00:00,4355.44,4355.52,0.08,104
2026-09-11T18:10:48.186+00:00,4355.42,4355.5,0.08,104
2026-09-11T18:10:48.408+00:00,4355.49,4355.57,0.08,104
2026-09-11T18:10:48.634+00:00,4355.53,4355.62,0.09,104
2026-09-11T18:10:48.933+00:00,4355.52,4355.62,0.1,104
2026-09-11T18:10:49.157+00:00,4355.21,4355.32,0.11,104
2026-09-11T18:10:49.683+00:00,4355.23,4355.34,0.11,104
2026-09-11T18:10:50.126+00:00,4355.22,4355.33,0.11,104
2026-09-11T18:10:50.427+00:00,4355.19,4355.3,0.11,104
2026-09-11T18:10:50.650+00:00,4355.05,4355.16,0.11,104
2026-09-11T18:10:50.873+00:00,4354.86,4354.96,0.1,104
2026-09-11T18:10:51.101+00:00,4354.96,4355.05,0.09,104
2026-09-11T18:10:51.323+00:00,4354.94,4355.04,0.1,104
2026-09-11T18:10:51.558+00:00,4354.94,4355.05,0.11,104
2026-09-11T18:10:51.774+00:00,4355.27,4355.38,0.11,104
2026-09-11T18:10:52.723+00:00,4355.26,4355.36,0.1,104
2026-09-11T18:10:53.261+00:00,4355.47,4355.57,0.1,104
2026-09-11T18:10:53.634+00:00,4355.49,4355.58,0.09,104
2026-09-11T18:10:53.859+00:00,4355.6,4355.7,0.1,104
2026-09-11T18:10:54.310+00:00,4355.6,4355.71,0.11,104
2026-09-11T18:10:54.534+00:00,4355.53,4355.63,0.1,104
2026-09-11T18:10:54.745+00:00,4355.64,4355.75,0.11,104
2026-09-11T18:10:54.964+00:00,4355.65,4355.74,0.09,104
2026-09-11T18:10:55.191+00:00,4355.66,4355.76,0.1,104
2026-09-11T18:10:55.564+00:00,4355.79,4355.9,0.11,104
2026-09-11T18:10:55.793+00:00,4355.9,4356.01,0.11,104
2026-09-11T18:10:56.019+00:00,4356.11,4356.21,0.1,104
2026-09-11T18:10:56.242+00:00,4356.15,4356.25,0.1,104
2026-09-11T18:10:56.466+00:00,4356.0,4356.1,0.1,104
2026-09-11T18:10:56.721+00:00,4356.02,4356.11,0.09,104
2026-09-11T18:10:57.071+00:00,4355.97,4356.06,0.09,104
2026-09-11T18:10:57.297+00:00,4355.97,4356.08,0.11,104
2026-09-11T18:10:57.723+00:00,4355.9,4356.0,0.1,105
2026-09-11T18:10:57.975+00:00,4355.99,4356.07,0.08,105
2026-09-11T18:10:58.192+00:00,4355.96,4356.06,0.1,105
2026-09-11T18:10:58.416+00:00,4356.05,4356.16,0.11,105
2026-09-11T18:10:58.722+00:00,4355.99,4356.11,0.12,105
2026-09-11T18:10:58.942+00:00,4355.92,4356.02,0.1,105
2026-09-11T18:10:59.199+00:00,4355.88,4355.98,0.1,105
2026-09-11T18:10:59.424+00:00,4355.98,4356.09,0.11,105
2026-09-11T18:10:59.734+00:00,4355.99,4356.1,0.11,105
2026-09-11T18:11:00.224+00:00,4355.89,4356.0,0.11,105
2026-09-11T18:11:00.446+00:00,4355.9,4356.01,0.11,105
2026-09-11T18:11:02.428+00:00,4355.91,4356.02,0.11,105
2026-09-11T18:11:02.649+00:00,4355.93,4356.04,0.11,105
2026-09-11T18:11:03.481+00:00,4355.75,4355.86,0.11,105
2026-09-11T18:11:03.689+00:00,4355.74,4355.86,0.12,105
2026-09-11T18:11:04.468+00:00,4355.73,4355.84,0.11,105
2026-09-11T18:11:04.689+00:00,4355.74,4355.86,0.12,105
2026-09-11T18:11:05.165+00:00,4355.72,4355.84,0.12,105
2026-09-11T18:11:05.541+00:00,4355.75,4355.85,0.1,105
2026-09-11T18:11:06.186+00:00,4355.75,4355.86,0.11,105
2026-09-11T18:11:06.411+00:00,4355.8,4355.91,0.11,105
2026-09-11T18:11:06.638+00:00,4355.77,4355.88,0.11,105
2026-09-11T18:11:07.012+00:00,4355.77,4355.89,0.12,105
2026-09-11T18:11:07.311+00:00,4355.74,4355.84,0.1,105
2026-09-11T18:11:07.540+00:00,4355.61,4355.71,0.1,105
2026-09-11T18:11:07.765+00:00,4355.57,4355.68,0.11,105
2026-09-11T18:11:07.989+00:00,4355.6,4355.71,0.11,105
2026-09-11T18:11:08.214+00:00,4355.51,4355.61,0.1,105
2026-09-11T18:11:08.442+00:00,4355.45,4355.54,0.09,105
2026-09-11T18:11:08.665+00:00,4355.35,4355.44,0.09,105
2026-09-11T18:11:08.890+00:00,4355.64,4355.75,0.11,105
2026-09-11T18:11:09.189+00:00,4355.39,4355.5,0.11,105
2026-09-11T18:11:09.414+00:00,4355.06,4355.15,0.09,105
2026-09-11T18:11:09.638+00:00,4355.05,4355.16,0.11,105
2026-09-11T18:11:09.952+00:00,4355.06,4355.17,0.11,105
2026-09-11T18:11:10.178+00:00,4355.05,4355.16,0.11,105
2026-09-11T18:11:10.403+00:00,4355.2,4355.31,0.11,105
