ts_utc,symbol_id,symbol,side,price,size,entry_id,update,msg_seq
2026-09-02T14:51:19.528+00:00,1,EURUSD,bid,1.15916,,,snapshot,4
2026-09-02T14:51:19.528+00:00,1,EURUSD,ask,1.15918,,,snapshot,4
2026-09-02T14:51:19.727+00:00,1,EURUSD,bid,1.15916,,,snapshot,4
2026-09-02T14:51:19.727+00:00,1,EURUSD,ask,1.15919,,,snapshot,4
2026-09-02T14:51:19.927+00:00,1,EURUSD,bid,1.15916,,,snapshot,4
2026-09-02T14:51:19.927+00:00,1,EURUSD,ask,1.15916,,,snapshot,4
2026-09-02T14:51:20.329+00:00,1,EURUSD,bid,1.15917,,,snapshot,4
2026-09-02T14:51:20.329+00:00,1,EURUSD,ask,1.15917,,,snapshot,4
2026-09-02T14:51:20.528+00:00,1,EURUSD,bid,1.15919,,,snapshot,4
2026-09-02T14:51:20.528+00:00,1,EURUSD,ask,1.15919,,,snapshot,4
2026-09-02T14:51:20.729+00:00,1,EURUSD,bid,1.15918,,,snapshot,4
2026-09-02T14:51:20.729+00:00,1,EURUSD,ask,1.15918,,,snapshot,4
2026-09-02T14:51:20.932+00:00,1,EURUSD,bid,1.15917,,,snapshot,4
2026-09-02T14:51:20.932+00:00,1,EURUSD,ask,1.15917,,,snapshot,4
2026-09-02T14:51:21.945+00:00,1,EURUSD,bid,1.15915,,,snapshot,4
2026-09-02T14:51:21.945+00:00,1,EURUSD,ask,1.15915,,,snapshot,4
2026-09-02T14:51:22.333+00:00,1,EURUSD,bid,1.15913,,,snapshot,4
2026-09-02T14:51:22.333+00:00,1,EURUSD,ask,1.15915,,,snapshot,4
2026-09-02T14:51:22.533+00:00,1,EURUSD,bid,1.15913,,,snapshot,4
2026-09-02T14:51:22.533+00:00,1,EURUSD,ask,1.15914,,,snapshot,4
2026-09-02T14:51:22.731+00:00,1,EURUSD,bid,1.15913,,,snapshot,4
2026-09-02T14:51:22.731+00:00,1,EURUSD,ask,1.15913,,,snapshot,4
2026-09-02T14:51:23.333+00:00,1,EURUSD,bid,1.15915,,,snapshot,4
2026-09-02T14:51:23.333+00:00,1,EURUSD,ask,1.15915,,,snapshot,4
