ts_recv_utc,bid,ask,spread,msg_seq
2026-09-11T17:24:04.704+00:00,153.678,153.68,0.002,6
2026-09-11T17:24:04.904+00:00,153.678,153.679,0.001,6
2026-09-11T17:24:05.106+00:00,153.677,153.678,0.001,6
2026-09-11T17:24:05.768+00:00,153.678,153.68,0.002,7
2026-09-11T17:24:05.967+00:00,153.678,153.679,0.001,7
2026-09-11T17:24:06.166+00:00,153.679,153.68,0.001,7
2026-09-11T17:24:06.368+00:00,153.68,153.682,0.002,7
2026-09-11T17:24:06.568+00:00,153.679,153.68,0.001,7
2026-09-11T17:24:06.769+00:00,153.68,153.681,0.001,7
2026-09-11T17:24:06.971+00:00,153.679,153.682,0.003,7
2026-09-11T17:24:07.171+00:00,153.68,153.681,0.001,7
2026-09-11T17:24:07.371+00:00,153.681,153.682,0.001,7
2026-09-11T17:24:07.688+00:00,153.68,153.683,0.003,7
2026-09-11T17:24:07.888+00:00,153.68,153.681,0.001,7
2026-09-11T17:24:08.089+00:00,153.679,153.682,0.003,7
2026-09-11T17:24:08.428+00:00,153.68,153.681,0.001,7
2026-09-11T17:24:08.828+00:00,153.679,153.682,0.003,7
2026-09-11T17:24:09.031+00:00,153.678,153.681,0.003,7
2026-09-11T17:24:09.432+00:00,153.679,153.682,0.003,7
2026-09-11T17:24:09.831+00:00,153.678,153.681,0.003,7
2026-09-11T17:24:10.239+00:00,153.678,153.683,0.005,7
2026-09-11T17:24:10.442+00:00,153.678,153.681,0.003,7
2026-09-11T17:24:10.924+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:11.126+00:00,153.678,153.681,0.003,7
2026-09-11T17:24:12.226+00:00,153.679,153.682,0.003,7
2026-09-11T17:24:12.427+00:00,153.678,153.681,0.003,7
2026-09-11T17:24:12.758+00:00,153.679,153.682,0.003,7
2026-09-11T17:24:12.956+00:00,153.678,153.681,0.003,7
2026-09-11T17:24:14.001+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:15.087+00:00,153.676,153.679,0.003,7
2026-09-11T17:24:15.287+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:16.795+00:00,153.676,153.679,0.003,7
2026-09-11T17:24:16.997+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:17.198+00:00,153.676,153.679,0.003,7
2026-09-11T17:24:18.348+00:00,153.674,153.677,0.003,7
2026-09-11T17:24:18.550+00:00,153.675,153.678,0.003,7
2026-09-11T17:24:18.751+00:00,153.676,153.679,0.003,7
2026-09-11T17:24:19.150+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:20.434+00:00,153.676,153.679,0.003,7
2026-09-11T17:24:21.234+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:22.642+00:00,153.676,153.679,0.003,7
2026-09-11T17:24:22.842+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:24.409+00:00,153.678,153.681,0.003,7
2026-09-11T17:24:24.609+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:26.850+00:00,153.678,153.681,0.003,7
2026-09-11T17:24:27.051+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:28.060+00:00,153.678,153.681,0.003,7
2026-09-11T17:24:28.462+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:28.664+00:00,153.678,153.679,0.001,7
2026-09-11T17:24:28.862+00:00,153.677,153.68,0.003,7
2026-09-11T17:24:37.445+00:00,153.676,153.679,0.003,8
2026-09-11T17:24:37.737+00:00,153.678,153.68,0.002,8
2026-09-11T17:24:38.137+00:00,153.676,153.679,0.003,8
2026-09-11T17:24:38.340+00:00,153.677,153.68,0.003,8
2026-09-11T17:24:38.958+00:00,153.676,153.679,0.003,8
2026-09-11T17:24:39.152+00:00,153.678,153.68,0.002,8
2026-09-11T17:24:39.963+00:00,153.676,153.679,0.003,8
2026-09-11T17:24:40.566+00:00,153.678,153.681,0.003,8
2026-09-11T17:24:40.769+00:00,153.677,153.68,0.003,8
2026-09-11T17:24:41.368+00:00,153.678,153.681,0.003,8
2026-09-11T17:24:42.006+00:00,153.679,153.682,0.003,8
2026-09-11T17:24:42.712+00:00,153.678,153.681,0.003,8
2026-09-11T17:24:42.913+00:00,153.683,153.686,0.003,8
2026-09-11T17:24:44.792+00:00,153.684,153.685,0.001,8
2026-09-11T17:24:44.849+00:00,153.682,153.685,0.003,8
2026-09-11T17:24:45.051+00:00,153.683,153.686,0.003,8
2026-09-11T17:24:46.659+00:00,153.682,153.685,0.003,8
2026-09-11T17:24:46.882+00:00,153.68,153.683,0.003,8
2026-09-11T17:24:47.059+00:00,153.682,153.685,0.003,8
2026-09-11T17:24:47.260+00:00,153.681,153.683,0.002,8
2026-09-11T17:24:47.478+00:00,153.682,153.685,0.003,8
2026-09-11T17:24:47.683+00:00,153.681,153.683,0.002,8
2026-09-11T17:24:47.867+00:00,153.682,153.685,0.003,8
2026-09-11T17:24:48.299+00:00,153.682,153.684,0.002,8
2026-09-11T17:24:48.469+00:00,153.682,153.685,0.003,8
2026-09-11T17:24:49.073+00:00,153.683,153.686,0.003,8
