ts_recv_utc,bid,ask,spread,msg_seq
2026-09-11T17:23:13.036+00:00,4366.15,4366.25,0.1,4
2026-09-11T17:23:13.259+00:00,4366.04,4366.14,0.1,4
2026-09-11T17:23:13.484+00:00,4366.05,4366.15,0.1,4
2026-09-11T17:23:13.708+00:00,4365.83,4365.94,0.11,4
2026-09-11T17:23:14.009+00:00,4365.94,4366.04,0.1,4
2026-09-11T17:23:14.234+00:00,4365.92,4366.03,0.11,4
2026-09-11T17:23:14.742+00:00,4365.93,4366.04,0.11,4
2026-09-11T17:23:15.071+00:00,4365.99,4366.11,0.12,4
2026-09-11T17:23:15.298+00:00,4365.92,4366.03,0.11,4
2026-09-11T17:23:15.681+00:00,4366.13,4366.22,0.09,5
2026-09-11T17:23:15.897+00:00,4366.17,4366.25,0.08,5
2026-09-11T17:23:16.122+00:00,4366.15,4366.26,0.11,5
2026-09-11T17:23:16.349+00:00,4366.36,4366.48,0.12,5
2026-09-11T17:23:16.575+00:00,4366.03,4366.14,0.11,5
2026-09-11T17:23:16.804+00:00,4366.01,4366.13,0.12,5
2026-09-11T17:23:17.027+00:00,4365.95,4366.06,0.11,5
2026-09-11T17:23:17.252+00:00,4365.89,4366.0,0.11,5
2026-09-11T17:23:17.627+00:00,4365.89,4365.99,0.1,5
2026-09-11T17:23:17.929+00:00,4366.12,4366.23,0.11,5
2026-09-11T17:23:18.228+00:00,4366.16,4366.28,0.12,5
2026-09-11T17:23:18.451+00:00,4366.17,4366.27,0.1,5
2026-09-11T17:23:18.837+00:00,4366.16,4366.27,0.11,5
2026-09-11T17:23:19.064+00:00,4366.23,4366.34,0.11,5
2026-09-11T17:23:19.286+00:00,4366.26,4366.35,0.09,5
2026-09-11T17:23:19.604+00:00,4366.28,4366.36,0.08,5
2026-09-11T17:23:19.829+00:00,4366.17,4366.26,0.09,5
2026-09-11T17:23:20.129+00:00,4366.12,4366.21,0.09,5
2026-09-11T17:23:20.354+00:00,4365.71,4365.81,0.1,5
2026-09-11T17:23:20.653+00:00,4365.8,4365.9,0.1,5
2026-09-11T17:23:20.878+00:00,4366.07,4366.18,0.11,5
2026-09-11T17:23:21.104+00:00,4365.96,4366.07,0.11,5
2026-09-11T17:23:21.405+00:00,4365.95,4366.06,0.11,5
2026-09-11T17:23:22.188+00:00,4365.74,4365.85,0.11,5
2026-09-11T17:23:22.414+00:00,4366.0,4366.11,0.11,5
2026-09-11T17:23:22.636+00:00,4366.0,4366.1,0.1,5
2026-09-11T17:23:22.863+00:00,4365.76,4365.85,0.09,5
2026-09-11T17:23:23.089+00:00,4366.08,4366.17,0.09,5
2026-09-11T17:23:23.314+00:00,4366.28,4366.36,0.08,5
2026-09-11T17:23:23.538+00:00,4366.32,4366.4,0.08,5
2026-09-11T17:23:23.740+00:00,4366.32,4366.41,0.09,5
2026-09-11T17:23:23.988+00:00,4366.31,4366.41,0.1,5
2026-09-11T17:23:24.363+00:00,4366.39,4366.5,0.11,5
2026-09-11T17:23:24.588+00:00,4366.23,4366.34,0.11,5
2026-09-11T17:23:24.814+00:00,4366.2,4366.3,0.1,5
2026-09-11T17:23:25.434+00:00,4366.21,4366.33,0.12,5
2026-09-11T17:23:25.658+00:00,4366.25,4366.35,0.1,5
2026-09-11T17:23:25.883+00:00,4366.26,4366.36,0.1,5
2026-09-11T17:23:26.110+00:00,4366.08,4366.18,0.1,5
2026-09-11T17:23:26.336+00:00,4366.01,4366.12,0.11,5
2026-09-11T17:23:26.562+00:00,4366.02,4366.12,0.1,5
2026-09-11T17:23:26.861+00:00,4366.01,4366.12,0.11,5
2026-09-11T17:23:27.086+00:00,4366.01,4366.13,0.12,5
2026-09-11T17:23:27.612+00:00,4366.35,4366.47,0.12,5
2026-09-11T17:23:28.004+00:00,4366.34,4366.45,0.11,5
2026-09-11T17:23:28.296+00:00,4366.31,4366.43,0.12,5
2026-09-11T17:23:28.741+00:00,4366.33,4366.44,0.11,5
2026-09-11T17:23:28.958+00:00,4366.32,4366.42,0.1,5
2026-09-11T17:23:29.181+00:00,4366.54,4366.63,0.09,5
2026-09-11T17:23:29.408+00:00,4366.56,4366.64,0.08,5
2026-09-11T17:23:29.709+00:00,4366.5,4366.58,0.08,5
2026-09-11T17:23:29.934+00:00,4367.34,4367.42,0.08,5
2026-09-11T17:23:30.160+00:00,4367.24,4367.32,0.08,5
2026-09-11T17:23:30.385+00:00,4367.3,4367.38,0.08,5
2026-09-11T17:23:30.834+00:00,4367.31,4367.39,0.08,5
2026-09-11T17:23:31.059+00:00,4367.32,4367.43,0.11,5
2026-09-11T17:23:31.585+00:00,4367.33,4367.45,0.12,5
2026-09-11T17:23:31.811+00:00,4367.08,4367.2,0.12,5
2026-09-11T17:23:32.035+00:00,4367.06,4367.17,0.11,5
2026-09-11T17:23:32.260+00:00,4367.29,4367.4,0.11,5
