Close,reference_price,reference_regime,directional_distance,scale,normalized_measurement,signal
1.09542,1.0974674991982583,0.0,-0.002047499198258196,0.001090714285714294,1.8772094810487572,0.0
1.09575,1.0974525060892157,0.0,-0.0017025060892157384,0.001057857142857142,1.609391306483481,0.0
1.09642,1.0964700469956332,1.0,-5.004699563326831e-05,0.0010700000000000154,0.04677289311520336,1.0
1.09703,1.0966863840492476,1.0,0.00034361595075238505,0.001065714285714289,0.32242783582663376,1.0
1.09792,1.097052274732702,1.0,0.0008677252672979474,0.001087142857142842,0.7981704166998312,1.0
1.09723,1.097037414263574,1.0,0.00019258573642599863,0.001111428571428541,0.17327765488200866,1.0
1.09723,1.097019673754894,1.0,0.00021032624510586295,0.0010814285714285507,0.19448926231718217,1.0
1.09693,1.0970139045665328,1.0,-8.390456653284417e-05,0.0010749999999999846,0.07805075956543756,1.0
1.09699,1.0970085170926058,1.0,-1.8517092605918606e-05,0.0010307142857142657,0.017965301211563794,1.0
1.09785,1.0971257417272473,1.0,0.000724258272752687,0.000984999999999982,0.7352875865509647,1.0
1.09748,1.0971213272533222,1.0,0.0003586727466777795,0.0009785714285714,0.36652689441525976,1.0
1.09825,1.0973348377413785,1.0,0.000915162258621427,0.0009378571428571173,0.9758013420183037,1.0
1.09877,1.0975448363120064,1.0,0.0012251636879936356,0.0009692857142856884,1.2639861187849195,1.0
1.09949,1.09792952551434,1.0,0.0015604744856601016,0.0009549999999999599,1.634004697026353,1.0
1.09967,1.098081407818162,1.0,0.0015885921818379334,0.0009628571428570908,1.6498731858851834,1.0
1.09883,1.0980836424659186,1.0,0.0007463575340813655,0.001030714285714234,0.7241168036825808,1.0
1.09967,1.0980843797298836,1.0,0.001585620270116328,0.0010807142857142285,1.4671965486866998,1.0
1.09926,1.0980963114802704,1.0,0.0011636885197294777,0.0010278571428571043,1.1321500539411606,1.0
1.09909,1.0981061425981307,1.0,0.000983857401869237,0.0009757142857142544,1.0083457998660146,1.0
1.09868,1.098106311580842,1.0,0.0005736884191580582,0.0009878571428571276,0.580740265235932,1.0
1.09836,1.0981052723561073,1.0,0.00025472764389267155,0.001006428571428551,0.25310056880748577,1.0
1.0984,1.098105069372462,1.0,0.0002949306275379371,0.0009692857142856884,0.304276255381815,1.0
1.09861,1.098105821223602,1.0,0.0005041787763981898,0.0009757142857142544,0.5167278821065069,1.0
1.09894,1.098111673058673,1.0,0.0008283269413269512,0.0009414285714285375,0.8798616979194032,1.0
1.09853,1.098111690091348,1.0,0.0004183099086521036,0.0009757142857142544,0.4287217218982166,1.0
1.09869,1.098112311659514,1.0,0.0005776883404859934,0.0009207142857142589,0.6274349702718497,1.0
1.09897,1.098113702118109,1.0,0.0008562978818908995,0.0008828571428571218,0.969916694698453,1.0
1.09928,1.0981211119046024,1.0,0.0011588880953976588,0.0008664285714285695,1.3375460293130468,1.0
1.10001,1.0983967714829128,1.0,0.0016132285170871175,0.0009028571428571418,1.7868037372800374,1.0
1.09986,1.0984071130467994,1.0,0.0014528869532006716,0.0008392857142857249,1.7310993484943953,1.0
1.09994,1.0984450255356624,1.0,0.0014949744643375507,0.0007592857142857243,1.9689221543485826,1.0
1.10089,1.0988489584543681,1.0,0.002041041545631783,0.0008099999999999932,2.51980437732321,1.0
1.10097,1.0989050619293828,1.0,0.0020649380706172504,0.0008099999999999932,2.5493062600213183,1.0
1.10115,1.0990404143475356,1.0,0.0021095856524644407,0.0007757142857142764,2.719539515147562,1.0
1.10115,1.0991090181673087,1.0,0.002040981832691413,0.0007599999999999987,2.685502411436074,1.0
1.10099,1.0991210918585077,1.0,0.0018689081414922093,0.00076857142857142,2.431664868112567,1.0
1.09999,1.0991262170841452,1.0,0.0008637829158548715,0.000830714285714272,1.0398074653455203,1.0
1.09996,1.0991279389129913,1.0,0.0008320610870087286,0.0008414285714285485,0.9888671662243224,1.0
1.09934,1.0999462980131796,-1.0,-0.0006062980131795737,0.0008535714285714059,0.7103072957752515,-1.0
1.10022,1.099962961625089,-1.0,0.00025703837491097836,0.0009121428571428376,0.2817961823612979,-1.0
1.10099,1.0999847327399994,-1.0,0.0010052672600004975,0.0009535714285713949,1.0542128569293978,-1.0
1.101,1.099987924458871,-1.0,0.0010120755411289206,0.0009164285714285165,1.1043692576621775,-1.0
1.1018,1.0993359854801892,1.0,0.002464014519810709,0.000943571428571377,2.611370422206799,1.0
1.10111,1.0993458316659397,1.0,0.0017641683340603453,0.0009657142857142206,1.8268015293525517,1.0
1.10033,1.0993464887771902,1.0,0.0009835112228098186,0.0010014285714285182,0.982108211079757,1.0
1.0998,1.1004049927443726,-1.0,-0.0006049927443725345,0.0010007142857142279,0.6045609151474641,-1.0
1.0996,1.1002449528005513,-1.0,-0.0006449528005514349,0.0009807142857142395,0.657635776236017,-1.0
1.09918,1.0999990184941868,-1.0,-0.0008190184941867518,0.000976428571428513,0.8387899721006007,-1.0
1.09948,1.10000385105816,-1.0,-0.0005238510581599964,0.0009885714285713546,0.5299071397572616,-1.0
1.09953,1.1000082537864246,-1.0,-0.0004782537864247427,0.0010128571428570851,0.47218286388905356,-1.0
1.10031,1.1000205974986914,-1.0,0.0002894025013084889,0.0009735714285713673,0.297258622033683,-1.0
1.1009,1.1000046163229387,-1.0,0.0008953836770613233,0.001037142857142816,0.8633175949627427,-1.0
1.10122,1.0990870128352932,1.0,0.00213298716470689,0.001002857142857099,2.1269102781978466,1.0
1.10192,1.0994320630171504,1.0,0.002487936982849659,0.0009964285714285173,2.4968543197058866,1.0
1.10253,1.099724907310011,1.0,0.002805092689988964,0.0009849999999999662,2.8478098375523455,1.0
1.10192,1.0997090221698613,1.0,0.002210977830138683,0.0010528571428571251,2.0999789431439675,1.0
1.10207,1.0996797393133062,1.0,0.0023902606866939013,0.0010164285714285531,2.351626817548505,1.0
1.10277,1.0997264722575386,1.0,0.003043527742461416,0.0010414285714285582,2.9224546223909718,1.0
1.10197,1.0997307575663293,1.0,0.002239242433670574,0.0010578571428571262,2.116772050735215,1.0
1.102,1.0997259173618614,1.0,0.0022740826381386636,0.000994999999999984,2.2855101890841207,1.0
1.10231,1.0996966045912895,1.0,0.002613395408710417,0.0009935714285714031,2.630304509126296,1.0
1.10281,1.0998923823640219,1.0,0.002917617635978198,0.0009864285714285468,2.957758646176379,1.0
1.10257,1.0999138645021704,1.0,0.0026561354978296148,0.0010142857142856978,2.6187251387052966,1.0
1.10212,1.0999111060802673,1.0,0.0022088939197326685,0.001037857142857122,2.1283217395910516,1.0
1.10219,1.0999254929990707,1.0,0.0022645070009292834,0.0009714285714285596,2.3311101480154672,1.0
1.10304,1.099974261928284,1.0,0.003065738071716062,0.0009928571428571287,3.0877937412967973,1.0
1.10252,1.1000019994367567,1.0,0.00251800056324325,0.0010192857142856987,2.4703579457187135,1.0
1.10163,1.100022238028047,1.0,0.0016077619719530034,0.0010471428571428496,1.535379782219796,1.0
1.10219,1.1000528785137793,1.0,0.0021371214862206944,0.0010399999999999934,2.05492450598145,1.0
1.10148,1.1000641686729447,1.0,0.0014158313270553613,0.0010521428571428507,1.3456645335217365,1.0
1.10201,1.1000734086732522,1.0,0.0019365913267477275,0.0010535714285714315,1.8381205813198718,1.0
1.10174,1.1000799158910692,1.0,0.001660084108930704,0.000989999999999999,1.6768526352835411,1.0
1.10173,1.1000930099977124,1.0,0.0016369900022876749,0.0009264285714285661,1.7669899793390578,1.0
1.1021,1.1001183089684847,1.0,0.0019816910315153535,0.0009435714285714246,2.1002024558073478,1.0
1.10181,1.1001362038837756,1.0,0.0016737961162243131,0.0009892857142857242,1.6919238719956786,1.0
1.10138,1.1001554003159817,1.0,0.0012245996840183349,0.0010007142857143072,1.2237255943080885,1.0
1.1006,1.1009247490185508,-1.0,-0.0003247490185507296,0.0010228571428571667,0.317492057242326,-1.0
1.10108,1.1009434796529378,-1.0,0.00013652034706224114,0.0010114285714285995,0.13497774427057366,-1.0
